filename,date_in,time_in,date_out,time_out
sonde_08Jun2014_20Aug2014.txt,2014-06-08,12:30:00,2014-06-10,13:00:00
sonde_08Jun2014_20Aug2014.txt,2014-06-13,11:30:00,2014-06-28,11:00:00
sonde_08Jun2014_20Aug2014.txt,2014-07-07,15:22:00,2014-08-20,8:22:00
sonde_10Aug2017_3Sep2017.txt,2017-08-21,18:33:00,2017-09-03,11:33:00
sonde_17Jul2017_18Aug2017.txt,2017-07-17,14:31:00,2017-08-18,19:31:00
sonde_21May2018_18Aug2018.txt,2018-06-05,11:00:00,2018-08-17,14:00:00
sonde_22Jul2019_16Aug2019.txt,2019-07-22,12:00:00,2019-08-11,4:30:00
sonde_23Jul2016_17Aug2016.txt,2016-07-24,12:12:00,2016-08-17,11:12:00
sonde_24May2015_26Jul2015.txt,2015-05-25,12:42:00,2015-07-17,14:42:00
sonde_24May2017_17Jul2017.txt,2017-05-24,11:30:00,2017-07-17,12:30:00
sonde_24May2019_21Jul2019.txt,2019-05-31,13:42:00,2019-07-20,9:42:00
sonde_26May2016_23Jul2016.txt,2016-05-29,12:29:00,2016-07-22,12:59:00
sonde_3Sep2017_3Oct2017.txt,2017-09-03,13:13:00,2017-10-03,13:13:00
sonde_8Jun2012_14Aug2012.txt,2012-06-08,09:30:00,2012-08-11,13:30:00
sonde_9Jun2013_18Aug2013.txt,2013-06-09,14:30:00,2013-08-18,10:30:00
sonde_26Jul2015_05Aug2015.txt,2015-07-26,16:42:00,2015-08-04,23:42:00
sonde_17Jun2020_01Sep2020.txt,2020-06-17,16:44:00,2020-09-01,07:44:56
